time,latitude,longitude,sv_used,hdop,pdop,vdop
2025-11-07T13:09:07.613859+00:00,58.42130383333333,15.582995166666667,22|19|17|15|24|13,2.14,6.45,6.08
2025-11-07T13:09:08.608724+00:00,58.42130083333333,15.582912833333333,22|19|17|15|24|13,2.14,6.45,6.09
2025-11-07T13:09:09.613786+00:00,58.42129,15.582849,22|19|17|15|24|13,2.14,6.46,6.10
2025-11-07T13:09:10.609865+00:00,58.42132,15.582738166666667,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:11.614000+00:00,58.421335666666664,15.582646333333333,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:12.610993+00:00,58.4213395,15.582560166666667,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:13.612956+00:00,58.42134566666667,15.582465666666666,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:14.609355+00:00,58.42134816666667,15.582376166666666,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:15.609069+00:00,58.42135666666667,15.582286,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:16.612220+00:00,58.421366,15.582195833333333,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:17.614177+00:00,58.42137733333333,15.582113833333333,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:18.613193+00:00,58.4213955,15.5820245,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:19.613277+00:00,58.42141183333333,15.581929666666667,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:20.610322+00:00,58.421422166666666,15.581845833333333,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:21.613460+00:00,58.421439,15.581755833333334,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:22.613495+00:00,58.42145633333333,15.581694,22|01|19|17|15|24|13,1.31,2.57,2.21
