time,target_ids,target_ranges,target_speeds,bin_target_speeds
2025-11-07T13:10:14.332803+00:00,"[128, 0, 0, 0, 0, 0]","[101, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:14.430300+00:00,"[128, 0, 0, 0, 0, 0]","[101, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:14.576557+00:00,"[128, 0, 0, 0, 0, 0]","[100, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:14.674596+00:00,"[128, 0, 0, 0, 0, 0]","[100, 0, 0, 0, 0, 0]","[4.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010001', '', '', '', '', '']"
2025-11-07T13:10:14.820311+00:00,"[128, 0, 0, 0, 0, 0]","[100, 0, 0, 0, 0, 0]","[4.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010001', '', '', '', '', '']"
2025-11-07T13:10:14.917804+00:00,"[128, 0, 0, 0, 0, 0]","[100, 0, 0, 0, 0, 0]","[4.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010001', '', '', '', '', '']"
2025-11-07T13:10:15.064069+00:00,"[128, 0, 0, 0, 0, 0]","[99, 0, 0, 0, 0, 0]","[4.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010001', '', '', '', '', '']"
2025-11-07T13:10:15.210319+00:00,"[128, 0, 0, 0, 0, 0]","[99, 0, 0, 0, 0, 0]","[4.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010001', '', '', '', '', '']"
2025-11-07T13:10:15.307814+00:00,"[128, 0, 0, 0, 0, 0]","[99, 0, 0, 0, 0, 0]","[4.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010001', '', '', '', '', '']"
2025-11-07T13:10:15.454060+00:00,"[128, 0, 0, 0, 0, 0]","[98, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:15.551569+00:00,"[128, 0, 0, 0, 0, 0]","[98, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:15.746587+00:00,"[128, 0, 0, 0, 0, 0]","[98, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:15.844072+00:00,"[128, 0, 0, 0, 0, 0]","[98, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:15.941568+00:00,"[128, 0, 0, 0, 0, 0]","[98, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
