time,latitude,longitude
2025-11-02T12:38:10.204326+00:00,58.350885166666664,15.596814
2025-11-02T12:38:11.204298+00:00,58.350871,15.596953333333333
2025-11-02T12:38:12.200514+00:00,58.350861,15.597092666666667
2025-11-02T12:38:13.202439+00:00,58.350843833333336,15.597223666666666
2025-11-02T12:38:14.199440+00:00,58.350832833333335,15.597344666666666
2025-11-02T12:38:15.204803+00:00,58.35083783333334,15.597466333333333
2025-11-02T12:38:16.205424+00:00,58.3508075,15.5975845
2025-11-02T12:38:17.207551+00:00,58.3507785,15.5977025
2025-11-02T12:38:18.205908+00:00,58.350723,15.597802833333333
2025-11-02T12:38:19.205800+00:00,58.350687,15.597913833333333
2025-11-02T12:38:20.202765+00:00,58.350631666666665,15.598012333333333
2025-11-02T12:38:21.202754+00:00,58.3505785,15.598113166666666
2025-11-02T12:38:22.203922+00:00,58.3505265,15.598208166666666
2025-11-02T12:38:23.203136+00:00,58.35046666666667,15.598297
2025-11-02T12:38:24.204001+00:00,58.3504095,15.598388666666667
2025-11-02T12:38:25.205055+00:00,58.35034916666667,15.59848
2025-11-02T12:38:26.203072+00:00,58.350297166666664,15.598586833333334
2025-11-02T12:38:27.207151+00:00,58.35023666666667,15.598680333333334
2025-11-02T12:38:28.204190+00:00,58.350176,15.598781666666667
2025-11-02T12:38:29.206259+00:00,58.35011866666667,15.598897166666667
2025-11-02T12:38:30.205287+00:00,58.35005566666667,15.599004166666667
2025-11-02T12:38:31.206338+00:00,58.349998166666666,15.599113833333334
2025-11-02T12:38:32.199400+00:00,58.349941333333334,15.599238333333334
2025-11-02T12:38:33.204424+00:00,58.3498805,15.599356666666667
2025-11-02T12:38:34.203512+00:00,58.349815,15.599467833333334
2025-11-02T12:38:35.205562+00:00,58.349753,15.5995915
2025-11-02T12:38:36.204836+00:00,58.349679333333334,15.599693833333333
2025-11-02T12:38:37.204149+00:00,58.34961766666667,15.599808166666667
2025-11-02T12:38:38.205671+00:00,58.349563333333336,15.599933166666666
2025-11-02T12:38:39.203735+00:00,58.34951016666667,15.600057833333333
2025-11-02T12:38:40.202867+00:00,58.34946516666667,15.600176166666667
2025-11-02T12:38:41.202824+00:00,58.34941216666667,15.600290666666666
2025-11-02T12:38:42.202878+00:00,58.349361333333334,15.600389333333334
2025-11-02T12:38:43.198067+00:00,58.349313333333335,15.600488333333333
2025-11-02T12:38:44.201137+00:00,58.34926633333333,15.6005755
2025-11-02T12:38:45.203022+00:00,58.3492135,15.600651833333334
2025-11-02T12:38:46.200110+00:00,58.349158833333334,15.600728
2025-11-02T12:38:47.208062+00:00,58.34910933333333,15.600795833333333
2025-11-02T12:38:48.203182+00:00,58.34907,15.600874333333334
2025-11-02T12:38:49.204168+00:00,58.34902233333333,15.600936666666666
2025-11-02T12:38:50.200364+00:00,58.34897183333333,15.6009965
2025-11-02T12:38:51.201356+00:00,58.348919,15.601056166666666
2025-11-02T12:38:52.199355+00:00,58.348867166666665,15.601119833333334
2025-11-02T12:38:53.204418+00:00,58.34881333333333,15.601177833333333
2025-11-02T12:38:54.200430+00:00,58.348764833333334,15.6012305
2025-11-02T12:38:55.205396+00:00,58.34871616666667,15.601279833333333
2025-11-02T12:38:56.200535+00:00,58.3486685,15.601332666666666
2025-11-02T12:38:57.204173+00:00,58.348629333333335,15.601402333333333
2025-11-02T12:38:58.206772+00:00,58.34858416666667,15.601459333333333
2025-11-02T12:38:59.203734+00:00,58.348538,15.601502
2025-11-02T12:39:00.202659+00:00,58.348497333333334,15.601555166666667
2025-11-02T12:39:01.202991+00:00,58.34846133333333,15.601617166666667
2025-11-02T12:39:02.200808+00:00,58.3484065,15.6016685
2025-11-02T12:39:03.202751+00:00,58.34835733333333,15.601720166666667
2025-11-02T12:39:04.199927+00:00,58.348312166666666,15.601783833333334
2025-11-02T12:39:05.202951+00:00,58.348269333333334,15.6018515
2025-11-02T12:39:06.202991+00:00,58.348212833333335,15.601921333333333
2025-11-02T12:39:07.204253+00:00,58.3481535,15.6019865
2025-11-02T12:39:08.202135+00:00,58.348094333333336,15.602063
2025-11-02T12:39:09.206248+00:00,58.34803616666667,15.602156
2025-11-02T12:39:10.204266+00:00,58.347970833333335,15.602222833333334
2025-11-02T12:39:11.204213+00:00,58.347916833333336,15.602293666666666
2025-11-02T12:39:12.199445+00:00,58.34786416666667,15.602349333333333
2025-11-02T12:39:13.204437+00:00,58.34781483333333,15.602438166666667
2025-11-02T12:39:14.203738+00:00,58.34776466666667,15.602519833333334
2025-11-02T12:39:15.203746+00:00,58.34770616666667,15.602591
2025-11-02T12:39:16.203754+00:00,58.347651,15.602662333333333
2025-11-02T12:39:17.203836+00:00,58.347596833333334,15.602739666666666
2025-11-02T12:39:18.202725+00:00,58.34754933333333,15.602828333333333
2025-11-02T12:39:19.202667+00:00,58.3474815,15.602911
